GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US01569,01569,ZCTA5 01569,5349,4498,4498,0,851,0
8600000US01570,01570,ZCTA5 01570,8011,7831,7831,0,180,0
8600000US01571,01571,ZCTA5 01571,4403,3442,3442,0,961,0
8600000US01581,01581,ZCTA5 01581,7350,7037,7037,0,313,0
8600000US01583,01583,ZCTA5 01583,2721,2378,2378,0,343,0
8600000US01585,01585,ZCTA5 01585,2049,972,0,972,1077,0
8600000US01588,01588,ZCTA5 01588,3903,3857,3857,0,46,0
8600000US01590,01590,ZCTA5 01590,3360,2063,2063,0,1297,0
8600000US01602,01602,ZCTA5 01602,9451,9451,9451,0,0,0
8600000US01603,01603,ZCTA5 01603,7950,7950,7950,0,0,0
8600000US01604,01604,ZCTA5 01604,15570,15570,15570,0,0,0
8600000US01605,01605,ZCTA5 01605,11140,11140,11140,0,0,0
8600000US01606,01606,ZCTA5 01606,8449,8449,8449,0,0,0
8600000US01607,01607,ZCTA5 01607,3850,3850,3850,0,0,0
8600000US01608,01608,ZCTA5 01608,1743,1743,1743,0,0,0
8600000US01609,01609,ZCTA5 01609,8307,8307,8307,0,0,0
8600000US01610,01610,ZCTA5 01610,8321,8321,8321,0,0,0
8600000US01611,01611,ZCTA5 01611,916,701,701,0,215,0
8600000US01612,01612,ZCTA5 01612,1608,834,834,0,774,0
8600000US01701,01701,ZCTA5 01701,12590,12590,12590,0,0,0
8600000US01702,01702,ZCTA5 01702,14984,14984,14984,0,0,0
8600000US01718,01718,ZCTA5 01718,205,205,205,0,0,0
8600000US01719,01719,ZCTA5 01719,2073,2071,2071,0,2,0
8600000US01720,01720,ZCTA5 01720,8294,7865,7865,0,429,0
8600000US01721,01721,ZCTA5 01721,6609,6528,6528,0,81,0
8600000US01730,01730,ZCTA5 01730,5372,5345,5345,0,27,0
8600000US01731,01731,ZCTA5 01731,477,477,477,0,0,0
8600000US01740,01740,ZCTA5 01740,1738,95,95,0,1643,0
8600000US01741,01741,ZCTA5 01741,1758,255,255,0,1503,0
8600000US01742,01742,ZCTA5 01742,6964,6022,6022,0,942,0
8600000US01745,01745,ZCTA5 01745,188,188,188,0,0,0
8600000US01746,01746,ZCTA5 01746,5087,4906,4906,0,181,0
8600000US01747,01747,ZCTA5 01747,2285,2268,2268,0,17,0
8600000US01748,01748,ZCTA5 01748,5128,4063,4063,0,1065,0
8600000US01749,01749,ZCTA5 01749,7998,7857,7857,0,141,0
8600000US01752,01752,ZCTA5 01752,16416,16376,16376,0,40,0
8600000US01754,01754,ZCTA5 01754,4447,4428,4428,0,19,0
8600000US01756,01756,ZCTA5 01756,2091,933,933,0,1158,0
8600000US01757,01757,ZCTA5 01757,11436,11325,11325,0,111,0
8600000US01760,01760,ZCTA5 01760,14039,13877,13877,0,162,0
8600000US01770,01770,ZCTA5 01770,1495,445,445,0,1050,0
8600000US01772,01772,ZCTA5 01772,3272,3256,3256,0,16,0
8600000US01773,01773,ZCTA5 01773,2154,1176,1176,0,978,0
8600000US01775,01775,ZCTA5 01775,2526,1620,1620,0,906,0
8600000US01776,01776,ZCTA5 01776,5951,5581,5581,0,370,0
8600000US01778,01778,ZCTA5 01778,5058,4925,4925,0,133,0
8600000US01801,01801,ZCTA5 01801,16737,16737,16737,0,0,0
8600000US01803,01803,ZCTA5 01803,9664,9664,9664,0,0,0
8600000US01810,01810,ZCTA5 01810,12423,12423,12423,0,0,0
8600000US01821,01821,ZCTA5 01821,11159,11159,11159,0,0,0
8600000US01824,01824,ZCTA5 01824,9849,9849,9849,0,0,0
8600000US01826,01826,ZCTA5 01826,11332,10945,10945,0,387,0
8600000US01827,01827,ZCTA5 01827,1098,158,158,0,940,0
8600000US01830,01830,ZCTA5 01830,10751,10564,10564,0,187,0
8600000US01832,01832,ZCTA5 01832,9283,9283,9283,0,0,0
8600000US01833,01833,ZCTA5 01833,3044,2783,2783,0,261,0
8600000US01834,01834,ZCTA5 01834,2439,2091,2091,0,348,0
8600000US01835,01835,ZCTA5 01835,5623,5550,5550,0,73,0
8600000US01840,01840,ZCTA5 01840,2347,2347,2347,0,0,0
8600000US01841,01841,ZCTA5 01841,15506,15506,15506,0,0,0
8600000US01843,01843,ZCTA5 01843,9287,9287,9287,0,0,0
8600000US01844,01844,ZCTA5 01844,18337,18336,18336,0,1,0
8600000US01845,01845,ZCTA5 01845,10964,10588,10588,0,376,0
8600000US01850,01850,ZCTA5 01850,5938,5938,5938,0,0,0
8600000US01851,01851,ZCTA5 01851,10760,10760,10760,0,0,0
8600000US01852,01852,ZCTA5 01852,14430,14430,14430,0,0,0
8600000US01854,01854,ZCTA5 01854,10315,10315,10315,0,0,0
8600000US01860,01860,ZCTA5 01860,2555,2237,2237,0,318,0
